hype_feature,total_count
major,435076
novel,273000
central,212101
strongly,180674
critical,162638
markedly,129551
unique,119199
excellent,77607
crucial,63676
promising,58055
prominent,47377
dramatically,39481
essential,37303
robust,35023
favorable,33419
surprisingly,31489
importantly,30696
remarkable,29165
vital,28563
remarkably,28205
definitive,20464
pivotal,15633
supportive,12788
encouraging,12017
innovative,11950
bright,7728
unprecedented,6473
enormous,5342
noteworthy,5141
exceptional,4650
outstanding,3500
creative,2851
assuring,1349
reassuring,922
spectacular,759
inspiring,724
hopeful,485
phenomenal,371
astonishing,298
amazing,290
groundbreaking,113
inventive,61
unprecedent,8
